feature,rf_importance
water_governance_index,0.16176586952281574
wua_coverage,0.1481250879197572
agri_employment_share,0.12383736887916115
crop_water_intensity_m3_per_usd,0.10595030664206784
population_rural_thousand,0.06723868087492015
sdg_642_water_stress_pct,0.05549647163257001
grain_production_kt,0.047029453613981025
lc_grassland_pct,0.04042684494329469
farm_income_usd,0.03762109879573072
lc_cropland_pct,0.03560683500672875
annual_mean_temp_c,0.034549600630443086
water_tariff_index,0.03312607709256252
country_code,0.028300683589039095
water_use_efficiency_usd_m3,0.02666251521576628
PET_mean,0.013437191590040021
annual_total_precip_mm,0.008588552885369938
rural_share,0.008389761911826011
lc_barren_pct,0.007393160081411199
uz_env_code_2021,0.0055990458072788275
NDVI,0.005042606709919893
soil_moisture_mean,0.003207545050279937
NDSI,0.0013338813978640267
ag_production_share,0.0012713602071718938
