feature,importance
water_governance_index,0.1618448194749699
wua_coverage,0.14820089388985883
agri_employment_share,0.12389340161897941
crop_water_intensity_m3_per_usd,0.10599847610088217
population_rural_thousand,0.06716544548779102
sdg_642_water_stress_pct,0.05542427036775352
grain_production_kt,0.04702732201558596
lc_grassland_pct,0.040420890229572945
farm_income_usd,0.03764752807326604
lc_cropland_pct,0.0356043797080029
annual_mean_temp_c,0.034923529011386296
water_tariff_index,0.03323090536847315
country_code,0.02829824451678771
water_use_efficiency_usd_m3,0.026516665539602174
PET_mean,0.013474418907733847
annual_total_precip_mm,0.00856447068602864
rural_share,0.008380182020473656
lc_barren_pct,0.00741487807141035
uz_env_code_2021,0.005191736625393408
NDVI,0.0050822194249214815
soil_moisture_mean,0.003178855957123187
NDSI,0.001270010270437515
ag_production_share,0.0012464566335657725
